Tanggal,qty,Jumlah
2016-04-07,7417.51,47842939
2016-04-08,9010.13,58115339
2016-04-09,10077.61,65000584
2016-04-10,5239.44,33794388
2016-04-11,7349.45,47403952
2016-04-12,9434.72,60853944
2016-04-13,10107.91,65196020
2016-04-14,9060.23,58438484
2016-04-15,8991.76,57996852
2016-04-16,9752.47,62903432
2016-04-17,8941.93,57675449
2016-04-18,9833.53,63426269
2016-04-19,6202.69,40007351
2016-04-20,8778.88,56623777
2016-04-21,8280.76,53410902
2016-04-22,9204.69,59370250
2016-04-23,9283.62,59879349
2016-04-24,9811.58,63284691
2016-04-25,578.77,3733067
2016-04-26,2793.61,18018785
2016-04-27,8673.58,55944591
2016-04-28,7560.45,48765753
2016-04-29,7570.63,48845150
2016-04-30,4974.53,32085719
2016-05-01,0,0
2016-05-02,33.77,217817
2016-05-03,7356.04,47446458
2016-05-04,8406.06,54219087
2016-05-05,6304.27,40662542
2016-05-06,9376.2,60476490
2016-05-07,8949.63,57725114
2016-05-08,6955.9,44865555
2016-05-09,0,0
2016-05-10,8687.74,56035923
2016-05-11,6957.32,44874714
2016-05-12,3017.75,19464488
2016-05-13,9521.59,61414256
2016-05-14,10165.13,65565089
2016-05-15,8953.21,57748205
2016-05-16,0,0
2016-05-17,3218.85,20761583
2016-05-18,8839.69,57016001
2016-05-19,8841.88,57030126
2016-05-20,8646.22,55768119
2016-05-21,7301.87,47097062
2016-05-22,9826.26,63379378
2016-05-23,61.82,398739
2016-05-24,5973.86,38531398
2016-05-25,9399.76,60628453
2016-05-26,676.65,4364393
2016-05-27,0,0
2016-05-28,9946.38,64154152
2016-05-29,5742.32,37038029
2016-05-30,37.82,243939
2016-05-31,8873.32,57232915
2016-06-01,7020.04,45279258
2016-06-02,8869.38,57207502
2016-06-03,6983.86,45045897
2016-06-04,4871.07,31418402
2016-06-05,10880.21,70177355
2016-06-06,55.58,358492
2016-06-07,145.16,936283
2016-06-08,6277.44,40489488
2016-06-09,8368.76,53978503
2016-06-10,1044.35,6736058
2016-06-11,20,129000
2016-06-12,1.89,12191
2016-06-13,0,0
2016-06-14,0,0
2016-06-15,0,0
2016-06-16,43.09,277931
2016-06-17,6702.56,43231512
2016-06-18,9542.7,61550416
2016-06-19,7918.93,51077099
2016-06-20,8275.8,53378910
2016-06-21,8339.07,53787002
2016-06-22,8013.38,51686301
2016-06-23,8549.08,55141566
2016-06-24,7921.67,51094772
2016-06-25,9277.99,59843036
2016-06-26,9289.77,59919017
2016-06-27,8501.6,54835321
2016-06-28,8852.33,57097528
2016-06-29,8168.77,52688567
2016-06-30,8618.91,55591970
2016-07-01,8995.06,58018138
2016-07-02,10917.82,70419940
2016-07-03,10940.6,70566871
2016-07-04,10927.43,70481924
2016-07-05,11306.52,72927376
2016-07-06,6748.86,43530147
2016-07-07,7779.38,50177001
2016-07-08,7292.34,47036593
2016-07-09,7444.7,48018315
2016-07-10,8728.7,56300115
2016-07-11,9037.47,58291682
2016-07-12,8811.3,56832885
2016-07-13,8650.03,55792694
2016-07-14,8261.2,53285320
2016-07-15,8282.32,53420965
2016-07-16,9519.91,61403420
2016-07-17,6295.87,40608361
2016-07-18,9442.9,60906705
2016-07-19,9333.44,60200689
2016-07-20,7428.51,47913890
2016-07-21,8600.79,55475096
2016-07-22,6511.37,41998337
2016-07-23,5692.21,36714755
2016-07-24,9057.68,58422036
2016-07-25,9215.98,59443072
2016-07-26,9312.86,60067948
2016-07-27,8606.94,55521213
2016-07-28,8637.8,55713810
2016-07-29,8571.71,55288175
2016-07-30,9490.46,61213468
2016-07-31,10502.06,67738288
2016-08-01,8438.53,54428519
2016-08-02,0,0
2016-08-03,8201,52896100
2016-08-04,10890,70240000
2016-08-05,7520,48504000
2016-08-06,9530,61469000
2016-08-07,9292,59933800
2016-08-08,9886,63764700
2016-08-09,8126,52412500
2016-08-10,7306,47182400
2016-08-11,5389,34759000
2016-08-12,5569,35919930
2016-08-13,4637,29908600
2016-08-14,7752,51935350
2016-08-15,10296.67,66374671
2016-08-16,10618.88,68492126
2016-08-17,8819.31,56884550
2016-08-18,10223.87,65943962
2016-08-19,7702.89,49685641
2016-08-20,8702.65,56128043
2016-08-21,7013.75,45238837
2016-08-22,7192.81,46393624
2016-08-23,8092,52193400
2016-08-24,6836.86,44097748
2016-08-25,7072.67,45618722
2016-08-26,6462.79,41687512
2016-08-27,7022.27,45293642
2016-08-28,7121.31,45932450
2016-08-29,0,0
2016-08-30,5330.77,34383467
2016-08-31,6755.56,43573362
2016-09-01,7779.53,50177968
2016-09-02,7428.35,47912858
2016-09-03,8205.58,52925992
2016-09-04,9738.41,62812744
2016-09-05,6888.62,44431599
2016-09-06,7588.16,48943632
2016-09-07,7920.37,51086387
2016-09-08,3726.76,24037602
2016-09-09,8397.38,54163101
2016-09-10,12282.81,79224124.5
2016-09-11,8620.82,55604289
2016-09-12,7235.32,46667814
2016-09-13,8510.08,54890016
2016-09-14,7654.8,49373460
2016-09-15,7657.04,49387908
2016-09-16,7726.29,49834570.5
2016-09-17,8611.14,55541853
2016-09-18,7797.9,50296455
2016-09-19,7341.39,47351966
2016-09-20,7297.44,47068489
2016-09-21,7324.6,47243026
2016-09-22,7391.59,47675756
2016-09-23,8782.69,56648350.5
2016-09-24,9253.36,59684172
2016-09-25,7607.08,49065666
2016-09-26,8138.48,52493196
2016-09-27,7300.35,47087253
2016-09-28,7280.39,46958513
2016-09-29,8834.23,56980784
2016-09-30,8819.46,56885517
2016-10-01,9153.26,59038527
2016-10-02,4997.72,32235294
2016-10-03,3464.77,22347766
2016-10-04,10177.3,65643585
2016-10-05,10578.43,68230874
2016-10-06,7329.26,47273727
2016-10-07,6333.79,40852946
2016-10-08,8474.55,54660847
2016-10-09,8447.84,54488569
2016-10-10,7357.12,47453424
2016-10-11,8089.03,52174243
2016-10-12,6310.67,40703822
2016-10-13,6563.53,42334504
2016-10-14,7197.53,46424069
2016-10-15,9952.49,64193561
2016-10-16,9031.85,58255433
2016-10-17,7764.42,50080509
2016-10-18,5761.77,37165673
2016-10-19,3646.51,23519989
2016-10-20,5853.69,37756300
2016-10-21,7811.51,50384239
2016-10-22,7592.08,48968916
2016-10-23,7393.93,47690848
2016-10-24,7651.38,49351400
2016-10-25,7291.83,47032303
2016-10-26,6721.06,43350837
2016-10-27,6266.53,40419118
2016-10-28,5783.8,37305510
2016-10-29,6514.19,42016525
2016-10-30,7318.19,47202325
2016-10-31,7069.56,45598662
2016-11-01,6751.11,43544659
2016-11-02,6450.41,41605144
2016-11-03,6429.79,41472145
2016-11-04,6512.02,42002530
2016-11-05,7532.93,48587398
2016-11-06,8892.05,57353722
2016-11-07,8305.74,53572023
2016-11-08,8303.12,53555124
2016-11-09,7250.23,46763983
2016-11-10,7799.04,50303808
2016-11-11,6938.57,44753975
2016-11-12,8100.1,52245644
2016-11-13,7292.01,47033464
2016-11-14,8222.5,53035124
2016-11-15,7101.65,45805642
2016-11-16,7041.69,45418900
2016-11-17,7211.69,46515816
2016-11-18,7055.9,45510555
2016-11-19,8686.7,56033050
2016-11-20,8177.58,52745391
2016-11-21,7121.36,45932965
2016-11-22,6776.1,43705845
2016-11-23,6984.15,45047767
2016-11-24,7339.14,47337452
2016-11-25,7063.26,45558026
2016-11-26,7766.93,50096698
2016-11-27,10486.05,67635022
2016-11-28,7594.79,48986395
2016-11-29,6979.69,45019000
2016-11-30,6686.73,43129408
2016-12-01,8153.67,52591171
2016-12-02,7611.59,49094755
2016-12-03,7902.03,50968093
2016-12-04,2709.56,17476662
2016-12-05,7691.1,49607597
2016-12-06,7696.36,49641521
2016-12-07,7091.26,45738626
2016-12-08,8269.68,53339436
2016-12-09,5369.81,34635274
2016-12-10,8709.87,56178661
2016-12-11,8617.39,55582165
2016-12-12,9027.71,58228793
2016-12-13,4498.67,29016421
2016-12-14,8340.04,53793258
2016-12-15,6781.44,43740287
2016-12-16,6854.47,44210170
2016-12-17,8074,52077300
2016-12-18,8437.49,54421810
2016-12-19,5241.84,33809867
2016-12-20,0,0
2016-12-21,7100.23,45796483
2016-12-22,7061.87,45549061
2016-12-23,7858.8,50689260
2016-12-24,9962.03,64255094
2016-12-25,9739.65,62820742
